dv,dv_label,quarter,coef,se,p_value,sig,r2,N
n_references,Reference Count,2021Q2,-7.685981193217442,10.169206637803931,0.3793859535346762,,0.09922986120393074,67008
n_references,Reference Count,2021Q3,-2.6215417973452535,9.278898109792024,0.7175596507524129,,0.09922986120393074,67008
n_references,Reference Count,2021Q4,-10.078538761797112,9.719420955354503,0.24398883766485557,,0.09922986120393074,67008
n_references,Reference Count,2022Q1,2.997742958002021,9.898458655384344,0.6998048273494852,,0.09922986120393074,67008
n_references,Reference Count,2022Q2,8.609963527419534,9.69630793658655,0.3102965881440578,,0.09922986120393074,67008
n_references,Reference Count,2022Q3,-11.950086915781611,9.575518790746417,0.16901963058459124,,0.09922986120393074,67008
n_references,Reference Count,2022Q4,-8.600831443592835,9.154970218812009,0.2860330646598248,,0.09922986120393074,67008
n_references,Reference Count,2023Q1,-7.677448150757095,9.691472972192468,0.35936031652769773,,0.09922986120393074,67008
n_references,Reference Count,2023Q2,5.582948076494931,9.647667271158527,0.4884421150183582,,0.09922986120393074,67008
n_references,Reference Count,2023Q3,-8.783015732062045,9.3348395535792,0.28538719738470597,,0.09922986120393074,67008
n_references,Reference Count,2023Q4,-7.018376430936607,9.376000180056058,0.3834779368900012,,0.09922986120393074,67008
n_references,Reference Count,2024Q1,8.014963492093518,9.938688857931604,0.3517247817444489,,0.09922986120393074,67008
n_references,Reference Count,2024Q2,5.050676227911941,10.25266952105498,0.5487067437746158,,0.09922986120393074,67008
n_references,Reference Count,2024Q4,1.9040231183855867,10.29368384365673,0.8073334365560141,,0.09922986120393074,67008
n_references,Reference Count,2025Q1,6.1746571322216965,9.677769140401598,0.44971559963253727,,0.09922986120393074,67008
n_references,Reference Count,2025Q2,2.994058628658474,10.210330537950108,0.7081623049715495,,0.09922986120393074,67008
n_references,Reference Count,2025Q3,5.003775289733129,10.553406500949954,0.5622997193690886,,0.09922986120393074,67008
n_references,Reference Count,2025Q4,14.583864586369238,9.845058343813887,0.10837638843079045,,0.09922986120393074,67008
