paper_id,publication_date,year_month,field,subfield,num_authors,institutions_distinct_count,countries_distinct_count,type,language,n_references,n_references_resolved,n_distinct_fields_cited,within_field_share,citation_hhi,other_field_share,surprise_kl,surprise_entropy
https://openalex.org/W2507908317,2021-04-01,2021-04,Arts and Humanities,History,1,1,0,article,en,177,174,7,0.655172,0.498349,0.011494,0.171949,0.958389
https://openalex.org/W3087143096,2021-04-21,2021-04,Arts and Humanities,Language and Linguistics,1,1,1,article,en,45,44,6,0.477273,0.297521,0.0,0.289443,1.450917
https://openalex.org/W3153071776,2021-04-01,2021-04,Arts and Humanities,Language and Linguistics,3,3,1,article,en,9,9,3,0.777778,0.62963,0.0,0.68655,0.683742
https://openalex.org/W3159782836,2021-04-03,2021-04,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,7,7,4,0.428571,0.306122,0.0,0.288872,1.277037
https://openalex.org/W3150994138,2021-04-06,2021-04,Arts and Humanities,Visual Arts and Performing Arts,1,1,1,article,en,20,20,3,0.65,0.495,0.0,0.240144,0.856844
https://openalex.org/W3154306985,2021-04-08,2021-04,Arts and Humanities,Classics,1,1,1,article,en,7,6,2,0.666667,0.555556,0.0,0.336803,0.636517
https://openalex.org/W3154363631,2021-04-20,2021-04,Arts and Humanities,Music,2,2,2,article,en,34,32,8,0.21875,0.203125,0.03125,1.007769,1.772275
https://openalex.org/W3026560777,2021-04-14,2021-04,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,27,27,7,0.62963,0.423868,0.074074,0.428368,1.287207
https://openalex.org/W3155894381,2021-04-14,2021-04,Arts and Humanities,History and Philosophy of Science,1,1,1,article,en,16,14,3,0.642857,0.5,0.0,0.294825,0.830474
https://openalex.org/W3177981000,2021-04-23,2021-04,Arts and Humanities,Literature and Literary Theory,2,2,1,article,en,31,19,4,0.789474,0.639889,0.0,0.374322,0.733544
https://openalex.org/W3157343726,2021-04-28,2021-04,Arts and Humanities,Literature and Literary Theory,3,3,1,article,en,63,60,5,0.816667,0.677778,0.016667,0.389479,0.703872
https://openalex.org/W3204638474,2021-04-01,2021-04,Arts and Humanities,Philosophy,1,1,1,article,en,9,6,2,0.333333,0.555556,0.0,0.560727,0.636517
https://openalex.org/W3153902353,2021-04-22,2021-04,Arts and Humanities,Archeology,3,3,1,article,en,9,9,3,0.777778,0.62963,0.0,0.555454,0.683742
